case_id,run_id_hidden,scenario,proposed_component,proposed_category,operator_label_aligned,claude_decision,claude_reasoning,agrees_with_operator
K0001,F7-r7-C4-llm-freeform,F7,application,,0,0,"F7: proposed 'application' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0002,F4-r9-C1-llm-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0003,F6-r5-C1-rule-grounded,F6,unknown,,0,0,"F6: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0004,F1-r4-C1-llm-grounded,F1,database,,1,0,"F1: proposed 'database' is outside the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate']. Operator-aligned label = 1.",no
K0005,F3-r9-C3-llm-grounded,F3,image registry,,0,0,"F3: proposed 'image-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0006,F8-r1-C2-llm-grounded,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0007,F7-r5-C1-llm-freeform,F7,unknown,,0,0,"F7: proposed 'unknown' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0008,F1-r10-C1-llm-freeform,F1,database,,1,0,"F1: proposed 'database' is outside the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate']. Operator-aligned label = 1.",no
K0009,F8-r6-C5-rule-grounded,F8,backend,,1,1,"F8: proposed 'backend' is in the ground-truth alias set ['api', 'backend', 'svc-backend'].",yes
K0010,F5-r5-C5-llm-freeform,F5,backend,,0,0,"F5: proposed 'backend' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0011,F7-r6-C1-llm-freeform,F7,unknown,,0,0,"F7: proposed 'unknown' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0012,F3-r10-C1-llm-grounded,F3,PostgreSQL database,,0,0,"F3: proposed 'postgresql-database' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0013,F2-r2-C4-rule-grounded,F2,unknown,,0,0,"F2: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0014,F10-r9-C3-llm-grounded,F10,application,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('application') is a hallucination by construction.,yes
K0015,F5-r7-C4-rule-grounded,F5,backend,,0,0,"F5: proposed 'backend' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0016,F1-r4-C3-llm-grounded,F1,database,,1,0,"F1: proposed 'database' is outside the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate']. Operator-aligned label = 1.",no
K0017,F2-r1-C1-rule-grounded,F2,unknown,,0,0,"F2: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0018,F8-r7-C4-llm-freeform,F8,application,,1,0,"F8: proposed 'application' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 1.",no
K0019,F5-r9-C2-rule-grounded,F5,unknown,,0,0,"F5: proposed 'unknown' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0020,F9-r3-C1-llm-grounded,F9,unknown,,0,0,"F9: proposed 'unknown' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0021,F6-r3-C1-llm-grounded,F6,unknown,,0,0,"F6: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0022,F2-r8-C2-llm-grounded,F2,backend service,,0,0,"F2: proposed 'backend-service' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0023,F5-r2-C2-rule-grounded,F5,unknown,,0,0,"F5: proposed 'unknown' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0024,F6-r8-C3-llm-grounded,F6,application,,1,1,"F6: proposed 'application' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres'].",yes
