case_id,run_id_hidden,masked_evidence_text,proposed_component,proposed_category,proposed_cause,operator_label_aligned,correct_human
K0001,F7-r7-C4-llm-freeform,"- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9707/postgres-credentials'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), contract=Failed(0p/1f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9707.preview.ihsenalaya.xyz'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779530853111,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",application,,,0,
K0002,F4-r9-C1-llm-grounded,,unknown,,,0,
K0003,F6-r5-C1-rule-grounded,,unknown,,,0,
K0004,F1-r4-C1-llm-grounded,"- type=JobLog resource=pod/postgres-migrate-w2gmj container/migration msg='File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/engine/default.py"", line 941, in do_execute cursor.execute(statement, parameters) sqlalchemy.exc.ProgrammingError: (psycopg2.errors.SyntaxError) syntax error at or…'
- type=PodLog resource=pod/postgres-7547d75674-gm6td container/postgres msg='2026-05-22 18:46:58.084 UTC [58] LOG:  database system was shut down at 2026-05-22 18:46:57 UTC 2026-05-22 18:46:58.102 UTC [1] LOG:  database system is ready to accept connections 2026-05-22 18:47:09.787 UTC [70] ERROR:…'",database,,,1,
K0005,F3-r9-C3-llm-grounded,"- type=KubernetesEvent resource=Pod/postgres-migrate-7hbjd msg='Pod/postgres-migrate-7hbjd: Failed to pull image ""testagentdevops.azurecr.io/idp-preview:baseline-fp-nonexistent"": [rpc error: code = NotFound desc = failed to pull and unpack image ""testagentdevops.azurecr.io/idp-previe…'
- type=KubernetesEvent resource=Pod/postgres-migrate-7hbjd msg='Pod/postgres-migrate-7hbjd: Error: ErrImagePull'
- type=KubernetesEvent resource=Pod/postgres-migrate-7hbjd msg='Pod/postgres-migrate-7hbjd: Error: ImagePullBackOff'
- type=PodLog resource=pod/postgres-5dc95c8c79-4sfz6 container/postgres msg='2026-05-22 20:52:36.567 UTC [45] LOG:  database system was shut down at 2026-05-22 20:52:36 UTC 2026-05-22 20:52:36.580 UTC [42] LOG:  database system is ready to accept connections done 2026-05-22 20:52:37.172 UTC [1] L…'",image registry,,,0,
K0006,F8-r1-C2-llm-grounded,,unknown,,,0,
K0007,F7-r5-C1-llm-freeform,,unknown,,,0,
K0008,F1-r10-C1-llm-freeform,"- type=JobLog resource=pod/postgres-migrate-k58hp container/migration msg='File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/engine/default.py"", line 941, in do_execute cursor.execute(statement, parameters) sqlalchemy.exc.ProgrammingError: (psycopg2.errors.SyntaxError) syntax error at or…'
- type=PodLog resource=pod/postgres-64bdc6df5f-8ft9p container/postgres msg='2026-05-22 18:15:06.884 UTC [58] LOG:  database system was shut down at 2026-05-22 18:15:06 UTC 2026-05-22 18:15:06.898 UTC [1] LOG:  database system is ready to accept connections 2026-05-22 18:15:20.530 UTC [70] ERROR:…'",database,,,1,
K0009,F8-r6-C5-rule-grounded,"- type=ChangedFile resource=app.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9806"" (key diff.patch)'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), contract=Failed(0p/1f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9806/postgres-credentials'
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9806.preview.ihsenalaya.xyz'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779527129758,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",backend,,,1,
K0010,F5-r5-C5-llm-freeform,"- type=ChangedFile resource=frontend.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9505"" (key diff.patch)'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9505.preview.ihsenalaya.xyz'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9505/postgres-credentials'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), contract=Failed(0p/1f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779520883208,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",backend,,,0,
